,Date,Day(Eng),Day(Nufi),Date (Jour-Mois-Annee),Date (yyyy-mm-dd),Nufi_Date,Nufi_Full_Date
0,January 1 1900,Monday,Ncômntēē,01-01-1900,1900 January 01,"Ntûmbhì līē', Ngù'fī, Ngù' 1900","Ncômntēē, Ntûmbhì līē', Ngù'fī, Ngù' 1900"
1,January 2 1900,Tuesday,Nzîngū,02-01-1900,1900 January 02,"līē' 2, Ngù'fī, Ngù' 1900","Nzîngū, līē' 2, Ngù'fī, Ngù' 1900"
2,January 3 1900,Wednesday,Nzîsō,03-01-1900,1900 January 03,"līē' 3, Ngù'fī, Ngù' 1900","Nzîsō, līē' 3, Ngù'fī, Ngù' 1900"
3,January 4 1900,Thursday,Nthʉ̂'kwɑ̀,04-01-1900,1900 January 04,"līē' 4, Ngù'fī, Ngù' 1900","Nthʉ̂'kwɑ̀, līē' 4, Ngù'fī, Ngù' 1900"
4,January 5 1900,Friday,Nthʉ̂'ntāā,05-01-1900,1900 January 05,"līē' 5, Ngù'fī, Ngù' 1900","Nthʉ̂'ntāā, līē' 5, Ngù'fī, Ngù' 1900"
5,January 6 1900,Saturday,Líé'nkwe',06-01-1900,1900 January 06,"līē' 6, Ngù'fī, Ngù' 1900","Líé'nkwe', līē' 6, Ngù'fī, Ngù' 1900"
6,January 7 1900,Sunday,Nkɑ́ɑ́tēē,07-01-1900,1900 January 07,"līē' 7, Ngù'fī, Ngù' 1900","Nkɑ́ɑ́tēē, līē' 7, Ngù'fī, Ngù' 1900"
7,January 8 1900,Monday,Nshwīe'ko,08-01-1900,1900 January 08,"līē' 8, Ngù'fī, Ngù' 1900","Nshwīe'ko, līē' 8, Ngù'fī, Ngù' 1900"
8,January 9 1900,Tuesday,Ncômntēē,09-01-1900,1900 January 09,"līē' 9, Ngù'fī, Ngù' 1900","Ncômntēē, līē' 9, Ngù'fī, Ngù' 1900"
9,January 10 1900,Wednesday,Nzîngū,10-01-1900,1900 January 10,"līē' 10, Ngù'fī, Ngù' 1900","Nzîngū, līē' 10, Ngù'fī, Ngù' 1900"
10,January 11 1900,Thursday,Nzîsō,11-01-1900,1900 January 11,"līē' 11, Ngù'fī, Ngù' 1900","Nzîsō, līē' 11, Ngù'fī, Ngù' 1900"
11,January 12 1900,Friday,Nthʉ̂'kwɑ̀,12-01-1900,1900 January 12,"līē' 12, Ngù'fī, Ngù' 1900","Nthʉ̂'kwɑ̀, līē' 12, Ngù'fī, Ngù' 1900"
12,January 13 1900,Saturday,Nthʉ̂'ntāā,13-01-1900,1900 January 13,"līē' 13, Ngù'fī, Ngù' 1900","Nthʉ̂'ntāā, līē' 13, Ngù'fī, Ngù' 1900"
13,January 14 1900,Sunday,Líé'nkwe',14-01-1900,1900 January 14,"līē' 14, Ngù'fī, Ngù' 1900","Líé'nkwe', līē' 14, Ngù'fī, Ngù' 1900"
14,January 15 1900,Monday,Nkɑ́ɑ́tēē,15-01-1900,1900 January 15,"līē' 15, Ngù'fī, Ngù' 1900","Nkɑ́ɑ́tēē, līē' 15, Ngù'fī, Ngù' 1900"
15,January 16 1900,Tuesday,Nshwīe'ko,16-01-1900,1900 January 16,"līē' 16, Ngù'fī, Ngù' 1900","Nshwīe'ko, līē' 16, Ngù'fī, Ngù' 1900"
16,January 17 1900,Wednesday,Ncômntēē,17-01-1900,1900 January 17,"līē' 17, Ngù'fī, Ngù' 1900","Ncômntēē, līē' 17, Ngù'fī, Ngù' 1900"
17,January 18 1900,Thursday,Nzîngū,18-01-1900,1900 January 18,"līē' 18, Ngù'fī, Ngù' 1900","Nzîngū, līē' 18, Ngù'fī, Ngù' 1900"
18,January 19 1900,Friday,Nzîsō,19-01-1900,1900 January 19,"līē' 19, Ngù'fī, Ngù' 1900","Nzîsō, līē' 19, Ngù'fī, Ngù' 1900"
19,January 20 1900,Saturday,Nthʉ̂'kwɑ̀,20-01-1900,1900 January 20,"līē' 20, Ngù'fī, Ngù' 1900","Nthʉ̂'kwɑ̀, līē' 20, Ngù'fī, Ngù' 1900"
20,January 21 1900,Sunday,Nthʉ̂'ntāā,21-01-1900,1900 January 21,"līē' 21, Ngù'fī, Ngù' 1900","Nthʉ̂'ntāā, līē' 21, Ngù'fī, Ngù' 1900"
21,January 22 1900,Monday,Líé'nkwe',22-01-1900,1900 January 22,"līē' 22, Ngù'fī, Ngù' 1900","Líé'nkwe', līē' 22, Ngù'fī, Ngù' 1900"
